text,href
Frais de port offerts dès 99€ d'achat !,
,/
Menu,
Acheter en ligne,/
En supermarché,/store
,/mla/
Mon compte,/mla/
Déconnexion,/user-api/logout?redirect=%2F
Connexion,/user-api/login?redirect=%2F
Créer un compte,/user-api/login?redirect=%2F
Mes commandes,/css/order-history
Détails de connexion,/css/manage-account/access-data
Mes adresses,/css/manage-account/addresses
,/otc/cart
Chrome,https://www.google.com/chrome/
Firefox,https://www.mozilla.org/firefox
Safari,https://www.apple.com/safari/
Edge,https://www.microsoft.com/windows/microsoft-edge
Recevez les meilleures offres !S'inscrire ici !Newsletter LidlS'inscrire ici !,https://www.lidl.fr/c/inscription-a-la-newsletter/s10017563
Mon compte,/mla/
Déconnexion,/user-api/logout?redirect=%2F
Connexion,/user-api/login?redirect=%2F
Créer un compte,/user-api/login?redirect=%2F
Mes commandes,/css/order-history
Détails de connexion,/css/manage-account/access-data
Mes adresses,/css/manage-account/addresses
Acheter en ligne,/
En supermarché,/store
Mon compte,
Menu,
Retour,#
Acheter en ligne,/
Catalogues en ligne,/c/catalogues-en-ligne/s10017753
Nos marques,/c/nos-marques/s10020326
Supermarchés et Horaires,/c/supermarches-et-horaires/s10019824
Inscription à la newsletter,/c/inscription-a-la-newsletter/s10017563
Lidl Plus,/c/lidl-plus/s10017570
Nos gammes alimentaires,/c/nos-gammes-alimentaires/s10017501
Les producteurs,/c/les-producteurs/s10017891
Nos recettes,https://www.lidl-recettes.fr/
Lidl Voyages,https://www.lidl-voyages.fr/accueil.html
Lidl Vins,https://www.lidl-vins.fr?&utm_source=Lidl_fr&utm_medium=lidl_online_shop_menu&utm_campaign=lidl-vins
Informations Clients,/c/informations-clients/s10017545
Bornes de recharge,/c/bornes-de-recharges/s10019703
Publicité comparative,/c/publicite-comparative/s10027822
Acheter en ligneOuvrir,/
Jardin & terrasse,/h/jardin-terrasse/h10018567
Bricolage,/h/bricolage/h10018559
Cuisine & ménage,/h/cuisine-menage/h10018655
Chauffage & climatisation,/h/chauffage-climatisation/h10018549
Mode,/h/mode/h10018877
Bébé & enfant,/h/bebe-enfant/h10019204
Meubles & décoration,/h/meubles-decoration/h10018729
Sport & loisirs,/h/sport-loisirs/h10018907
Voitures & motos,/h/voitures-motos/h10018518
Multimédia,/h/multimedia/h10018903
